                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.306,                  4.735,                 2.0473,                0.00172,                0.38519,                0.01943,                0.00848,                 1.5754,                 5.0006,                 1.6171,              4.287e-05,              4.287e-05,              4.287e-05
                      2,                  1.796,                 4.4737,                 1.7802,                0.00283,                0.65556,                 0.1931,                0.11948,                 1.1157,                 4.5668,                 1.3031,              9.904e-05,              9.904e-05,              9.904e-05
                      3,                 1.3229,                 3.8532,                 1.3861,                0.00397,                0.95556,                0.43599,                 0.2978,                 1.0226,                 4.3549,                 1.1273,             0.00015408,             0.00015408,             0.00015408
                      4,                 1.2361,                 3.0395,                 1.2845,                0.00423,                      1,                0.58531,                0.41557,                0.79323,                 3.7967,                 1.0736,             0.00020798,             0.00020798,             0.00020798
                      5,                 1.2289,                  2.702,                 1.3083,                0.00399,                      1,                0.60805,                0.44527,                0.72178,                 3.7721,                 1.0253,             0.00026076,             0.00026076,             0.00026076
                      6,                 1.2038,                 2.6478,                 1.2502,                0.00367,                0.97778,                0.60602,                0.40335,                0.84707,                 3.7609,                 1.0307,              0.0003124,              0.0003124,              0.0003124
                      7,                  1.376,                 2.7111,                 1.2887,                0.00367,                0.97778,                0.64887,                0.41752,                0.85073,                 3.8881,                 1.0541,             0.00036291,             0.00036291,             0.00036291
                      8,                 1.1662,                 2.3394,                 1.2298,                0.00384,                0.97778,                 0.6337,                0.47714,                 0.7454,                 3.7763,                0.98306,             0.00041229,             0.00041229,             0.00041229
                      9,                 1.2313,                 2.5726,                 1.1637,                 0.0043,                0.97778,                0.70179,                0.48048,                0.88081,                  3.734,                 1.0277,             0.00046054,             0.00046054,             0.00046054
                     10,                 1.0481,                 2.2316,                 1.1203,                0.00413,                0.95926,                0.40137,                0.19612,                 1.1892,                 4.3393,                 1.2396,             0.00050765,             0.00050765,             0.00050765
                     11,                 1.0302,                 2.2674,                 1.1415,                0.00339,                 0.5963,                0.34154,                0.18278,                 1.0959,                 4.3316,                 1.2822,             0.00055364,             0.00055364,             0.00055364
                     12,                  1.117,                   2.16,                 1.1843,                0.00395,                0.65556,                0.41243,                0.28029,                0.99111,                 3.9682,                 1.1107,             0.00059849,             0.00059849,             0.00059849
